dt,hour,tid,gender,age,customers_cnt
2016-02-02,3,Shuka,2,2,31
2016-02-02,3,Shuka,2,3,42
2016-02-02,3,Shuka,2,4,15
2016-02-02,4,Himki,1,1,30
2016-02-02,4,Himki,1,2,49
2016-02-02,4,Himki,1,3,23
2016-02-02,4,Himki,1,4,15
2016-02-02,4,Himki,2,1,15
2016-02-02,4,Himki,2,2,45
2016-02-02,4,Himki,2,3,20
2016-02-02,4,Himki,2,4,15
2016-02-02,4,Metropolis,1,1,23
2016-02-02,4,Metropolis,1,2,49
2016-02-02,4,Metropolis,1,3,34
2016-02-02,4,Metropolis,1,4,8
2016-02-02,4,Metropolis,2,1,19
2016-02-02,4,Metropolis,2,2,79
2016-02-02,4,Metropolis,2,3,30
2016-02-02,4,Metropolis,2,4,19
2016-02-02,4,Shuka,1,1,27
2016-02-02,4,Shuka,1,2,215
2016-02-02,4,Shuka,1,3,134
2016-02-02,4,Shuka,1,4,67
2016-02-02,4,Shuka,2,1,33
2016-02-02,4,Shuka,2,2,159
2016-02-02,4,Shuka,2,3,101
2016-02-02,4,Shuka,2,4,76
2016-02-02,5,Himki,1,1,19
2016-02-02,5,Himki,1,2,118
2016-02-02,5,Himki,1,3,64
2016-02-02,5,Himki,1,4,23
2016-02-02,5,Himki,2,1,34
2016-02-02,5,Himki,2,2,53
2016-02-02,5,Himki,2,3,30
2016-02-02,5,Himki,2,4,19
2016-02-02,5,Metropolis,1,1,57
2016-02-02,5,Metropolis,1,2,194
2016-02-02,5,Metropolis,1,3,76
2016-02-02,5,Metropolis,1,4,49
2016-02-02,5,Metropolis,2,1,53
2016-02-02,5,Metropolis,2,2,182
2016-02-02,5,Metropolis,2,3,61
2016-02-02,5,Metropolis,2,4,11
2016-02-02,5,Shuka,1,1,60
2016-02-02,5,Shuka,1,2,433
2016-02-02,5,Shuka,1,3,172
2016-02-02,5,Shuka,1,4,106
2016-02-02,5,Shuka,2,1,68
2016-02-02,5,Shuka,2,2,435
2016-02-02,5,Shuka,2,3,251
2016-02-02,5,Shuka,2,4,155
2016-02-02,6,Himki,1,1,49
2016-02-02,6,Himki,1,2,184
2016-02-02,6,Himki,1,3,131
